id,text,listPrice
RE_009688,"Nestled in the heart of Randolph, [Redacted Entity] offers a wonderful blend of small-town charm, everyday convenience, and comfortable living. This inviting property sits along a quiet, well-traveled street close to local shops, schools, dining, and community amenities, while still maintaining the peaceful, hometown feel Randolph is known for. From the moment you arrive, the home's curb appeal sets a welcoming tone, reflecting classic character and warmth that makes it easy to imagine coming home at the end of the day. Inside, the layout balances functionality with comfort, offering flexible spaces suited for relaxing, entertaining, or working from home. Natural light flows through the living areas, creating an open and inviting atmosphere, while the kitchen serves as the heart of the home with ample room for meal preparation and gathering with family or friends. Bedrooms are comfortably sized, providing quiet retreats, and additional spaces throughout the home allow for storage, hobbies, or personal touches that make the space your own. One of the home's standout features is the cozy front porch, a perfect place to unwind, sip morning coffee, read a book, or greet neighbors as they pass by, adding a welcoming extension of living space. Located just minutes from Randolph's downtown area and within easy reach of nearby communities, [Redacted Entity] offers an ideal balance of convenience, comfort, and community, making it more than just an address but a place to create lasting memories.",185000.0
RE_015920,"Beautiful end-unit townhouse in desirable Quinn Estates offering comfort, space, and convenience. This 2-bedroom home features a large, open-concept living and dining areaperfect for entertaining or everyday living. The updated kitchen includes newer appliances and ample cabinet space. One bedroom is a loft-style space, ideal for a guest room, home office, or flex space, while the spacious primary bedroom offers a private en-suite bathroom and walk-in closet. Enjoy the enclosed porch for relaxing in any season, plus the convenience of first-floor laundry. The lower level includes a professionally installed basement waterproofing system and is ready to be finished, providing the opportunity for additional living space. Additional highlights include a built-in Generac generator system for peace of mind. Ideally located with close proximity to shopping, dining, and all local amenitiesthis move-in-ready end unit is a must-see!",175000.0
RE_014937,Lovely 1925 bungalow! Forced air. Unfinished basement. Backyard is fenced with a drive through gate on 7th side.Furnace and heat pump to be replaced!,339500.0
RE_005414,"Remodeled One Story home at the end of a cul-de-sac in Southern Roseburg. Home has just gone through an extensive remodel including but not limited to: new roof, attic and underfloor insulation, cabinets, counters, interior doors, flooring, fixtures and paint. Includes fenced yard and RV Parking",329900.0
RE_005647,"Rare Opportunity for a lovely & updated one level condo with a spacious, private & fenced yard! Move in clean with fresh interior paint, updated kitchen and bath, and large level yard with relaxing deck to enjoy. Open kitchen has updated counters, oak cabinetry, bamboo flooring, and plenty of storage with a pantry. Appliances included, complete with refrigerator, washer and dryer. Kitchen is adjacent to the dining room with a slider to access the backyard. Home has AC and a wood burning fireplace to keep you comfortable year around. Both bedrooms have a window seat and share a nicely updated hall bath with walk in shower. There is a one car garage with remote access and keypad. Perfectly situated near local shopping, neighborhood amenities, and within blocks of nature trails & Lowami Hart Woods Park. Easy commute to freeway access. Ideal for downsizers or first time buyers.",349000.0
RE_013848,"Inviting single-level home offering an open, comfortable layout with 3 bedrooms and 1.5 baths. Extremely clean and move-in ready, with low-maintenance, well-established landscaping. The private backyard is next to City-owned land, providing added privacy, exceptional year-round views, and scenic sunset vistas. Enjoy an expansive back patio ideal for gatherings or everyday relaxation, along with raised garden beds ready for spring planting. Just a short walk to a nearby park. An oversized garage, potential RV parking, upgraded electrical panel, and a fully fenced yard complete the property. A home to add to your must-see list-worth seeing in person. Schedule a showing today.",435000.0
RE_004349,"Welcome home to this spacious and versatile home in the Lynnwood community. With five bedrooms and four bathrooms, it offers ample space for everyday living . The 3-car garage and RV/boat parking provide convenient storage options. Its proximity to Moore Park, boat launches, tennis courts, hospitals, and grocery stores makes it an ideal location for active and convenient living",599000.0
RE_015580,First floor kitchen two bedrooms one bathroom Second floor three bedrooms one bathrooms Basement with separate entrance Bus and subway service directly to Main Street,968000.0
RE_001191,"Located at the base of the iconic Hermiston Butte, this potential building site is over 1/2 acre of opportunity! Buyer will need to verify availability of city services as well as buildability. If you are looking for a home site that is centrally located and has a spectacular view of Hermiston festivities...Look No Further!!",90000.0
RE_014269,"Set on a .7 acre lot, in a great neighborhood with unbeatable location, this wellmaintained 4 bedroom, 2.5 bath colonial offers 2,380 square feet of comfortable, easy living. With a relaxed open floorplan this home is ready for you to move right in. Step inside the 2-story open foyer and you are home. Formal living room, and separate dining room for large gatherings. You know you'll enjoy the cozy gas fireplace-perfect for instant warmth on cool evenings. The kitchen features a peninsula overlooking the breakfast area, a charming coffee bar, and a sunfilled bumpout with sliding glass doors and sidelights that open to the gorgeous backyard ideal for outdoor dining, gardening, or simply relaxing. A full basement offers excellent storage or the potential for future finished space. A mudroom with half-bath just off the twocar garage makes coming and going a breeze. Keep life organized and hidden away in the convenient first-floor laundry room. If you're seeking convenience and a lifestyle that embraces the outdoors, this home delivers. As a resident, you're just steps from the Fairways of Halfmoon executive golf course, featuring an 18hole course, yearround restaurant, pro shop, and event space. Enjoy quiet streets, scenic surroundings, and quick access to everything Saratoga County has to offer.",525000.0
